player_id,player_name,n_pairs,r,p,is_reputation
1629060,Rui Hachimura,3,0.999336344158774,0.0231947984367967,False
1630170,Devin Vassell,3,0.9717593444038104,0.1516561074251664,False
1627814,Damion Lee,3,0.9715952695454394,0.1520981228454958,False
1630581,Josh Giddey,3,0.9599928058488844,0.1806852974075256,False
1629611,Terance Mann,4,0.9589230174483396,0.0410769825516603,False
1628991,Jaren Jackson Jr.,4,0.9588156417857494,0.0411843582142505,False
101150,Lou Williams,3,0.8903831348376475,0.3008729891711993,False
1630162,Anthony Edwards,4,0.8699154367070957,0.1300845632929044,True
1628369,Jayson Tatum,7,0.8521917550798196,0.0148735862311409,True
201937,Ricky Rubio,4,0.8502613457280896,0.1497386542719103,False
1630171,Isaac Okoro,4,0.7989242532753396,0.2010757467246604,False
1629014,Anfernee Simons,5,0.7907238306335251,0.1112467769716621,False
1628370,Malik Monk,4,0.7542079593561097,0.2457920406438902,False
203999,Nikola Jokić,7,0.7254409436841267,0.0650103458955786,True
202689,Kemba Walker,4,0.7238776575150282,0.2761223424849719,False
1626162,Kelly Oubre Jr.,7,0.7212999495013777,0.0673243785934669,False
1630200,Tre Jones,3,0.6992206091099097,0.5070610360063719,False
200782,P.J. Tucker,5,0.6912946922192269,0.1960828304577523,False
1626172,Kevon Looney,5,0.6859702696663745,0.2009985262614124,False
1627783,Pascal Siakam,7,0.6848386897406867,0.0895835228722751,False
1629018,Gary Trent Jr.,5,0.6468749444140993,0.2381038534784052,False
201950,Jrue Holiday,7,0.6384064204604744,0.1228129946678488,False
201568,Danilo Gallinari,3,0.6379750823927586,0.5595445368899278,False
202691,Klay Thompson,4,0.6149805357883881,0.385019464211612,False
1627827,Dorian Finney-Smith,6,0.5486692771611987,0.2595812285210591,False
201566,Russell Westbrook,7,0.5409687463949188,0.2098787482015377,True
1628989,Kevin Huerter,6,0.5338993774652451,0.2752445542323825,False
1627759,Jaylen Brown,7,0.5288576670643983,0.2222796071044523,False
