PLAYER_ID,player_name,clutch_fgm,clutch_fg3m,clutch_fga,clutch_fta,clutch_ftm,clutch_pts,clutch_ts,ft_stripped_eff,ft_boost,ft_share_of_pts
101108,Chris Paul,1,0,6,7,6,8,0.44052863436123346,0.16666666666666666,0.27386196769456683,0.75
1628378,Donovan Mitchell,3,0,11,9,8,14,0.4679144385026738,0.2727272727272727,0.19518716577540107,0.5714285714285714
201142,Kevin Durant,9,1,28,16,15,34,0.4851598173515982,0.3392857142857143,0.1458741030658839,0.4411764705882353
202331,Paul George,2,1,6,3,3,8,0.5464480874316939,0.4166666666666667,0.12978142076502724,0.375
203954,Joel Embiid,4,0,14,7,6,14,0.40983606557377056,0.2857142857142857,0.12412177985948486,0.42857142857142855
202710,Jimmy Butler III,17,4,32,27,25,63,0.7178669097538741,0.59375,0.12411690975387413,0.3968253968253968
1628369,Jayson Tatum,24,2,73,36,31,81,0.4558757316524088,0.3424657534246575,0.11340997822775128,0.38271604938271603
1630162,Anthony Edwards,14,5,33,18,17,50,0.6109481915933529,0.5,0.1109481915933529,0.34
1628983,Shai Gilgeous-Alexander,21,3,43,23,22,67,0.6306475903614458,0.5232558139534884,0.10739177640795738,0.3283582089552239
201939,Stephen Curry,27,12,70,34,32,98,0.5767419962335216,0.4714285714285714,0.1053134248049502,0.32653061224489793
202695,Kawhi Leonard,24,6,54,30,26,80,0.5952380952380952,0.5,0.09523809523809523,0.325
2544,LeBron James,18,4,46,26,20,60,0.5222841225626741,0.43478260869565216,0.08750151386702193,0.3333333333333333
1629029,Luka Dončić,6,2,17,11,7,21,0.4807692307692308,0.4117647058823529,0.06900452488687786,0.3333333333333333
1629630,Ja Morant,14,2,27,16,12,42,0.6169212690951822,0.5555555555555556,0.06136571353962661,0.2857142857142857
203999,Nikola Jokić,23,6,57,29,20,72,0.5160550458715596,0.45614035087719296,0.059914694994366635,0.2777777777777778
203081,Damian Lillard,14,5,35,11,9,42,0.5271084337349398,0.4714285714285714,0.055679862306368344,0.21428571428571427
202681,Kyrie Irving,10,3,24,10,7,30,0.5281690140845071,0.4791666666666667,0.04900234741784043,0.23333333333333334
201566,Russell Westbrook,3,1,11,2,1,8,0.33670033670033667,0.3181818181818182,0.01851851851851849,0.125
203507,Giannis Antetokounmpo,5,1,12,7,3,14,0.46419098143236076,0.4583333333333333,0.005857648099027446,0.21428571428571427
